Number of Features,Ensemble.csv,correlation_ranking.csv,info_gain_ranking.csv,info_gain_ratio_ranking.csv,mrmr_ranking.csv,relief_ranking.csv,sym_uncertainty_ranking.csv
71,0.4916666666666667,0.475,0.4666666666666666,0.4666666666666666,0.4833333333333333,0.475,0.475
72,0.4916666666666667,0.475,0.475,0.475,0.475,0.475,0.4833333333333333
73,0.5,0.475,0.475,0.475,0.4833333333333333,0.4666666666666666,0.4833333333333333
74,0.4916666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.475,0.45833333333333337,0.4833333333333333
75,0.4916666666666667,0.475,0.475,0.475,0.475,0.45,0.4666666666666666
76,0.4833333333333334,0.475,0.475,0.475,0.5083333333333333,0.45,0.4666666666666667
77,0.4833333333333333,0.4833333333333334,0.4833333333333333,0.4833333333333333,0.5,0.4583333333333333,0.4916666666666667
78,0.4916666666666667,0.4833333333333334,0.4416666666666666,0.4416666666666666,0.4833333333333333,0.45,0.4916666666666667
79,0.5,0.475,0.4416666666666666,0.4416666666666666,0.4916666666666667,0.45,0.45
80,0.5,0.4833333333333334,0.475,0.475,0.4833333333333333,0.4666666666666667,0.475
81,0.5,0.4583333333333333,0.4916666666666667,0.4916666666666667,0.4833333333333334,0.4833333333333334,0.4666666666666666
82,0.4833333333333333,0.4666666666666666,0.4833333333333333,0.4833333333333333,0.4916666666666667,0.4833333333333334,0.4666666666666666
83,0.4833333333333333,0.4583333333333333,0.4833333333333333,0.4833333333333333,0.4916666666666667,0.4833333333333334,0.4666666666666666
84,0.5,0.4833333333333334,0.475,0.475,0.5,0.4666666666666667,0.4666666666666667
85,0.4916666666666667,0.475,0.4916666666666667,0.4916666666666667,0.5,0.4666666666666666,0.4916666666666667
86,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.4833333333333334,0.4833333333333334
